"Id","SalePrice"
1461,109964.307467923
1462,182692.21504924
1463,174233.168830984
1464,193095.934575218
1465,208340.21735196
1466,168199.862395903
1467,165733.20737317
1468,159867.669314141
1469,192701.26540726
1470,102785.742218434
1471,210654.281306394
1472,121960.009623227
1473,121163.321014345
1474,170356.377732322
1475,120173.549794566
1476,362429.188058694
1477,239261.204461653
1478,315977.610443763
1479,309241.839712086
1480,459317.429941493
1481,271252.74059187
1482,209176.241366447
1483,171708.726308817
1484,166177.207694603
1485,176239.443262507
1486,200546.779388423
1487,317160.039431991
1488,221816.378447801
1489,185807.111246083
1490,242527.431181689
1491,191355.961650792
1492,93113.848176571
1493,181441.286382574
1494,293508.281750473
1495,271831.793506469
1496,258146.987840877
1497,179922.502107168
1498,160135.845577527
1499,159923.27320298
1500,154649.223598549
1501,198717.725229989
1502,153185.942862263
1503,284731.987642296
1504,230880.622889144
1505,213541.003666139
1506,205137.213959052
1507,259325.163083009
1508,203617.067119293
1509,155764.913153453
1510,144608.126474012
1511,148961.725554088
1512,187038.714596223
1513,139322.422836317
1514,168261.128882781
1515,213926.997676992
1516,159409.614717312
1517,173917.514001692
1518,127592.838992632
1519,229564.958879435
1520,147601.591844419
1521,149179.514564527
1522,189386.781722752
1523,106047.332236483
1524,109884.03662841
1525,115730.254895903
1526,101829.304121788
1527,71237.31754869
1528,135928.697353448
1529,144834.858152589
1530,182369.214756609
1531,141743.029866413
1532,110152.908632251
1533,163330.813023784
1534,128449.190104511
1535,174190.77406572
1536,116033.670079871
1537,42727.0386044781
1538,160538.865578938
1539,196304.97575323
1540,129694.371929433
1541,140914.828782867
1542,155076.958859962
1543,210445.993905747
1544,83355.797417257
1545,107352.017008875
1546,129916.479191933
1547,165643.275566999
1548,139541.327638175
1549,97397.5425134071
1550,144139.903824231
1551,147510.008500621
1552,145099.875318747
1553,148325.68994666
1554,120476.413462858
1555,190666.49911205
1556,123166.758238065
1557,145643.70759677
1558,107585.964257449
1559,118370.866919885
1560,123329.416793468
1561,131370.385061323
1562,125857.663851862
1563,110725.422057201
1564,180579.840222098
1565,152155.891579912
1566,214716.539286751
1567,69385.1099169923
1568,241470.424760238
1569,141096.334111811
1570,138989.684040675
1571,96888.41533739
1572,137064.197736387
1573,271550.551460663
1574,131832.822738435
1575,233631.323488019
1576,214530.428851858
1577,174517.312774406
1578,132821.000705032
1579,125602.8306132
1580,194792.185114359
1581,136436.034392763
1582,108117.606075564
1583,291911.21652143
1584,221798.179648986
1585,145032.396539024
1586,61591.4257721747
1587,80353.6722400657
1588,162563.777752084
1589,79602.9353524371
1590,140826.546615201
1591,104778.804277853
1592,120118.945594581
1593,110451.886720368
1594,142437.730061448
1595,140860.045181346
1596,245037.414148742
1597,166426.655399636
1598,183614.755366963
1599,201099.997172556
1600,202234.105857586
1601,37623.0092566552
1602,127639.140016029
1603,82814.731515147
1604,299666.272483463
1605,235723.506620647
1606,174224.874217119
1607,180587.41871874
1608,193776.115175343
1609,189401.356569936
1610,127279.712458408
1611,120301.890282552
1612,194666.690308259
1613,150051.296457387
1614,139635.067059282
1615,92912.5686831851
1616,89210.8392460552
1617,95766.3048379
1618,107269.0562702
1619,128850.881177909
1620,170426.958766153
1621,130621.792192278
1622,149185.681657414
1623,265706.472124858
1624,212100.411717209
1625,129439.16931765
1626,189947.163179404
1627,188586.31055893
1628,271024.765955096
1629,169696.096329314
1630,357170.431224874
1631,197044.27197195
1632,236073.697843042
1633,160267.5311248
1634,177770.951712914
1635,184827.740779598
1636,160503.70283603
1637,182533.130634385
1638,205365.258732451
1639,183282.145626718
1640,269432.836742765
1641,187860.376760881
1642,248633.78472207
1643,219181.838484497
1644,224799.977997225
1645,211917.734645016
1646,158949.351220512
1647,169141.530899419
1648,127342.89521588
1649,135134.627227417
1650,86869.3411046777
1651,90059.1985623368
1652,124393.094705541
1653,125422.050807549
1654,162059.922953792
1655,164075.108671167
1656,158460.075886478
1657,162726.273532021
1658,156332.442402046
1659,130861.655963775
1660,130824.307823986
1661,418954.296844045
1662,383863.246812387
1663,360367.247315101
1664,449987.329317813
1665,309401.570267441
1666,310030.183584132
1667,356169.718096506
1668,337488.604903112
1669,313071.420380553
1670,342297.395800553
1671,261940.282848715
1672,424972.584581224
1673,262755.8698179
1674,231280.296197457
1675,202846.984340002
1676,195345.212000407
1677,214183.839817475
1678,441724.727924344
1679,375185.386551075
1680,358549.040565316
1681,291058.132594773
1682,290152.342121027
1683,193648.067435004
1684,180679.17489206
1685,173794.290447124
1686,174846.051664235
1687,167434.868831977
1688,200599.190494027
1689,193301.211390978
1690,201709.449297084
1691,186939.648055796
1692,272256.513183722
1693,171731.188153268
1694,177153.569396394
1695,154049.710201808
1696,279784.860300533
1697,156147.734174889
1698,309983.177795086
1699,312914.669566707
1700,240406.002963932
1701,268011.511413641
1702,232003.469845064
1703,229509.693963222
1704,260257.189440777
1705,253612.315044018
1706,416640.287859264
1707,240714.200666594
1708,187199.598342134
1709,233367.835253972
1710,209584.021779674
1711,261646.542387586
1712,264111.460308445
1713,273999.02852971
1714,224315.359654667
1715,196961.27099543
1716,171188.474439169
1717,166330.972314967
1718,152237.88009365
1719,201055.855963837
1720,223408.810343607
1721,162786.989197655
1722,138947.766197959
1723,156345.033610553
1724,210452.383597737
1725,239406.383737877
1726,182321.906782363
